CO2,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15
2.645700635,0.374540119,0.950714306,0.731993942,0.598658484,0.15601864,0.15599452,0.058083612,0.866176146,0.601115012,0.708072578,0.020584494,0.969909852,0.832442641,0.212339111,0.181824967
1.565374995,0.18340451,0.304242243,0.524756432,0.431945019,0.29122914,0.611852895,0.139493861,0.292144649,0.366361843,0.456069984,0.785175961,0.199673782,0.514234438,0.592414569,0.046450413
2.619204293,0.607544852,0.170524124,0.065051593,0.948885537,0.965632033,0.808397348,0.304613769,0.097672114,0.684233027,0.440152494,0.122038235,0.49517691,0.034388521,0.909320402,0.258779982
1.809659668,0.662522284,0.311711076,0.520068021,0.546710279,0.184854456,0.969584628,0.775132823,0.939498942,0.89482735,0.597899979,0.921874235,0.088492502,0.195982862,0.045227289,0.325330331
1.832001646,0.38867729,0.271349032,0.828737509,0.356753327,0.28093451,0.542696083,0.140924225,0.802196981,0.074550644,0.986886937,0.772244769,0.198715682,0.005522117,0.815461428,0.706857344
2.093054096,0.729007168,0.771270347,0.074044652,0.358465729,0.11586906,0.863103426,0.623298127,0.330898025,0.06355835,0.310982322,0.325183322,0.729606178,0.637557471,0.887212743,0.472214925
2.662551826,0.119594246,0.713244787,0.760785049,0.561277198,0.77096718,0.493795596,0.522732829,0.427541018,0.025419127,0.107891427,0.031429186,0.636410411,0.314355981,0.508570691,0.907566474
1.589295753,0.249292229,0.410382923,0.755551139,0.228798165,0.07697991,0.289751453,0.161221287,0.929697652,0.80812038,0.633403757,0.87146059,0.803672077,0.186570059,0.892558998,0.539342242
2.620056227,0.807440155,0.8960913,0.318003475,0.110051925,0.227935163,0.427107789,0.818014766,0.860730583,0.006952131,0.510747303,0.417411003,0.22210781,0.119865367,0.337615171,0.942909704
2.656192952,0.323202932,0.518790622,0.703018959,0.363629602,0.971782083,0.962447295,0.251782296,0.497248506,0.30087831,0.284840494,0.036886947,0.609564334,0.502679023,0.051478751,0.278646464
2.691211624,0.908265886,0.239561891,0.144894872,0.48945276,0.985650454,0.242055272,0.672135547,0.761619615,0.237637544,0.728216349,0.367783133,0.632305831,0.633529711,0.535774684,0.09028977
2.011812874,0.835302496,0.320780065,0.18651851,0.040775142,0.590892943,0.677564362,0.016587829,0.512093058,0.226495775,0.64517279,0.174366429,0.690937738,0.386735346,0.936729989,0.137520944
2.199255622,0.341066351,0.113473521,0.924693618,0.877339353,0.257941628,0.659984046,0.8172222,0.555200812,0.529650578,0.241852291,0.093102768,0.897215758,0.900418057,0.633101457,0.339029791
3.303272909,0.349209575,0.725955679,0.89711026,0.887086424,0.779875546,0.642031646,0.084139965,0.161628714,0.898554189,0.60642906,0.009197052,0.101471543,0.663501769,0.005061584,0.160808051
2.711955808,0.548733789,0.691895198,0.65196126,0.224269309,0.712179221,0.237249087,0.325399698,0.746491405,0.649632899,0.84922341,0.657612892,0.568308603,0.093674768,0.367715803,0.265202368
3.158103355,0.243989643,0.973010555,0.393097725,0.892046555,0.631138626,0.794811304,0.502637093,0.576903885,0.492517694,0.195242988,0.722452115,0.280772362,0.024315966,0.645472296,0.177110679
3.209341183,0.940458584,0.953928577,0.91486439,0.3701587,0.015456617,0.928318563,0.428184148,0.966654819,0.963619977,0.853009455,0.294448892,0.385097729,0.851136672,0.316922005,0.169492747
2.904430858,0.556801262,0.936154774,0.696029797,0.57006117,0.097176494,0.615007227,0.99005385,0.140084015,0.518329652,0.877373072,0.740768618,0.697015741,0.702484084,0.359491151,0.293591844
3.790196043,0.809361155,0.810113395,0.867072319,0.913240553,0.511342399,0.501516295,0.798295179,0.649963931,0.701966877,0.795792669,0.890005342,0.337995157,0.375582953,0.09398194,0.578280141
1.872910896,0.035942274,0.465598018,0.542644635,0.286541252,0.590833261,0.03050025,0.037348189,0.822600561,0.360190641,0.127060513,0.52224326,0.769993553,0.215821027,0.622890476,0.085347465
2.233885913,0.051681721,0.531354632,0.540635122,0.637429901,0.726091334,0.975852079,0.516300348,0.322956473,0.795186195,0.270832251,0.438971421,0.078456381,0.025350743,0.962648415,0.835980121
1.721952395,0.695974206,0.408952944,0.17329432,0.156437043,0.250242898,0.549226665,0.714595923,0.660197377,0.279933897,0.954865281,0.737896917,0.554354053,0.611720746,0.419600062,0.24773099
1.482871037,0.355972679,0.75784611,0.014393489,0.116072641,0.046002642,0.040728802,0.855460584,0.703657859,0.474173829,0.097834161,0.491615875,0.473471771,0.17320187,0.433851649,0.398504734
2.37405725,0.615850098,0.635093651,0.04530401,0.374612615,0.625859916,0.503136259,0.856489841,0.658693632,0.162934427,0.070568747,0.642419278,0.026511311,0.585775581,0.940230241,0.575474178
3.011268609,0.388169926,0.643288218,0.45825289,0.545616789,0.941464809,0.386102638,0.961190564,0.905350642,0.195791135,0.069361301,0.100778001,0.018221826,0.094442961,0.683006773,0.071188648
2.284208397,0.31897563,0.844875311,0.023271936,0.814468483,0.281854775,0.118164828,0.696737165,0.628942847,0.877472014,0.735071044,0.80348093,0.282034573,0.177439544,0.750614752,0.806834739
2.761777273,0.990505142,0.412617677,0.372018086,0.776412961,0.34080354,0.930757326,0.858412752,0.428994027,0.750871068,0.754542874,0.103123869,0.902552907,0.505252372,0.826457466,0.320049601
2.19377975,0.895523228,0.389201679,0.010837651,0.905381976,0.091286677,0.319313638,0.950061967,0.950607147,0.573437888,0.631837212,0.448445522,0.293210772,0.328664545,0.672518456,0.752374529
2.197350507,0.791579044,0.789618143,0.091206103,0.494420305,0.05755876,0.549528882,0.441530501,0.887704183,0.350915013,0.117067016,0.142991682,0.761510632,0.618218063,0.101122676,0.084106806
1.700778875,0.700969131,0.072763006,0.821860059,0.706242227,0.081348781,0.084837714,0.986639579,0.374270796,0.370642147,0.812799567,0.947248577,0.986001064,0.753378185,0.376259586,0.083500717
2.384595242,0.777146916,0.55840425,0.424222009,0.906354385,0.111197482,0.492625104,0.011353645,0.468660642,0.056303276,0.118817916,0.117526247,0.649210302,0.746044879,0.583368765,0.962172548
2.4308173,0.37487058,0.285712086,0.868599128,0.223595839,0.963222539,0.012154475,0.969878827,0.043159912,0.891143114,0.527701109,0.992964796,0.073796565,0.553854284,0.969302536,0.523097844
2.894045918,0.629398638,0.695748689,0.454541065,0.62755808,0.584314312,0.90115801,0.04544638,0.28096319,0.950411484,0.890263784,0.455656753,0.620132598,0.277381183,0.18812116,0.463698405
